split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,publishedDate,3,74,173031,0.23815212535246974,0.267831962837167,0.20424821411171776,0.4527027027027027,0.4594594594594595
march_april,publishedDate,"3,4",92,343421,0.22897090230830147,0.2887683370050673,0.19219509002025506,0.5580486542443064,0.5905797101449276
march_april_may,publishedDate,"3,4,5",96,525293,0.2500563913085099,0.3395730594538309,0.21612520269680668,0.599495701058201,0.6524884259259259
