split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,publishedDate,3,74,173031,0.2941714147018151,0.3173235900395112,0.267598483054092,0.4527027027027027,0.4594594594594595
march_april,publishedDate,"3,4",92,343421,0.3091023020941104,0.35053500908639323,0.27180945562963926,0.5580486542443064,0.5905797101449276
march_april_may,publishedDate,"3,4,5",96,525293,0.3374224697856487,0.4038763858810046,0.30119709510151116,0.599495701058201,0.6524884259259259
