split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,publishedDate,3,74,173031,0.231395368595713,0.26107520608041024,0.19523920510270876,0.4527027027027027,0.4594594594594595
march_april,publishedDate,"3,4",92,343421,0.22610270683333392,0.2865674572431948,0.18946781729298232,0.5580486542443064,0.5905797101449276
march_april_may,publishedDate,"3,4,5",96,525293,0.2495807591652346,0.3390907008353789,0.21524693472295045,0.599495701058201,0.6524884259259259
